size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,246.64728956588272,574.0
2,2,1,1,0,0,0,0.3333333333333333,1,1,0,1,1,2086.438915112305,160.0
0,0,3,0,3,1,0,0.3333333333333333,0,0,0,0,1,720.0889345318593,1525.0
2,2,3,0,3,1,0,0.3333333333333333,0,0,0,1,1,1473.538946152515,3265.0
3,3,5,0,3,1,0,0.3333333333333333,0,0,0,0,0,415.1208561780026,81.0
1,2,1,1,0,1,0,0.3333333333333333,0,0,1,1,1,1859.7075689348178,2000.0
2,2,1,0,0,0,1,0.3333333333333333,1,1,0,1,1,1982.718018653678,3703.0
2,2,1,1,0,0,0,0.3333333333333333,1,1,0,1,1,2083.462213286545,2163.0
3,3,4,0,0,1,0,0.3333333333333333,0,0,0,0,0,417.2581464810105,587.0
2,2,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1872.0909717331053,1930.0
3,0,4,1,0,1,0,0.3333333333333333,1,0,0,0,0,401.9934720666724,539.0
0,1,3,0,3,1,0,0.3333333333333333,0,0,0,1,1,1092.8520336188074,1251.0
1,2,3,0,3,1,0,0.3333333333333333,0,0,0,1,1,1609.323441187484,3066.0
2,2,1,0,0,1,0,0.0,1,0,0,1,1,1808.82718212605,3957.0
1,1,1,0,0,1,0,0.0,1,0,0,1,1,1576.847295699151,2024.0
3,3,1,0,5,0,1,0.0,0,0,0,0,0,651.6375899831437,43.0
1,1,6,1,0,1,0,0.3333333333333333,1,0,0,1,1,1253.7147147113747,1659.0
1,1,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1669.6499947998566,1459.0
2,2,1,1,0,0,0,0.3333333333333333,1,0,0,1,1,1716.256802886731,2319.0
2,2,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1887.3856842994976,2659.0
1,2,1,1,0,1,0,0.3333333333333333,1,0,0,1,1,1930.2547435205463,1648.0
3,3,1,0,0,1,1,0.3333333333333333,1,0,0,0,0,989.7353838798069,195.0
3,3,3,0,2,1,0,0.0,0,0,0,0,0,458.205841723547,131.0
1,2,3,0,3,1,0,0.3333333333333333,0,0,0,1,1,1331.0514111334237,3129.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,636.3286914090804,25.0
1,1,7,0,6,1,0,0.3333333333333333,0,0,0,1,1,1446.8745648074685,124.0
0,1,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1638.2317500882418,1257.0
1,1,1,1,0,1,1,0.3333333333333333,1,0,1,1,1,1906.8104331616005,3618.0
2,2,1,1,0,1,1,0.06666666666666667,1,0,0,1,1,2011.4120183512782,1913.0
3,3,7,1,6,1,0,0.3333333333333333,0,0,0,0,0,122.1342782077445,167.0
0,1,1,1,0,1,0,0.03333333333333333,1,0,1,1,1,1415.0935054121555,1173.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,0,1,1,2106.0824111033653,2098.0
3,3,1,0,0,1,1,0.3333333333333333,0,0,0,0,0,1086.3546623133273,2071.0
0,1,3,0,2,1,0,0.3333333333333333,0,0,0,1,1,1794.9986575005871,20.0
3,3,1,0,5,0,0,0.0,0,0,0,0,0,161.64752972505886,3046.0
3,3,4,0,0,0,0,0.3333333333333333,1,1,0,0,0,151.63637676695487,611.0
1,2,3,1,0,1,1,0.3333333333333333,1,0,1,1,1,1861.9945063377954,1474.0
1,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2092.515688621699,1523.0
2,2,1,1,0,1,0,0.03333333333333333,1,0,1,1,1,1538.166421938882,2593.0
2,2,3,0,2,1,0,0.3333333333333333,0,0,0,1,1,1531.9218172955884,462.0
3,3,1,0,0,1,1,0.3333333333333333,1,0,0,0,0,920.563553453573,55.0
0,1,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1727.3848092121425,1279.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,292.9794443539665,478.0
3,3,8,1,0,0,0,0.3333333333333333,0,1,0,0,0,140.538439007614,1025.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,513.2023919742994,40.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1792.449268978493,1836.0
3,3,8,1,0,1,0,0.3333333333333333,1,0,0,0,0,2.802907818010965,361.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,484.6172442638574,491.0
0,0,1,1,0,1,1,0.3333333333333333,1,0,1,1,1,1953.8714835235517,911.0
2,2,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,2004.3851212144964,2160.0
